isbn,title,rating,listPrice
0316666343,The Lovely Bones: A Novel,8.185289957567186,0.0
0312195516,The Red Tent (Bestselling Backlist),8.182767624020888,0.0
0679781587,,8.408408408408409,0.0
0385504209,The Da Vinci Code,8.435318275154003,0.0
0446310786,To Kill a Mockingbird,8.94392523364486,0.0
044021145X,The Firm,7.822115384615385,0.0
0060928336,Divine Secrets of the Ya-Ya Sisterhood: A Novel,7.8875,0.0
0142001740,The Secret Life of Bees,8.452768729641694,0.0
0440211727,A Time to Kill,7.93298969072165,0.0
059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),8.939297124600639,0.0
0385484518,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",8.615,0.0
0316601950,The Pilot's Wife : A Novel,7.5036764705882355,0.0
043935806X,Harry Potter and the Order of the Phoenix (Book 5),9.033980582524272,0.0
0440214041,The Pelican Brief,7.586206896551724,0.0
067976402X,Snow Falling on Cedars,7.80859375,0.0
0743418174,Good in Bed,8.046610169491526,0.0
0375706771,Midwives: A Novel,7.73202614379085,0.0
0786868716,The Five People You Meet in Heaven,8.016528925619834,0.0
0452282152,Girl with a Pearl Earring,7.982014388489208,0.0
0375727345,House of Sand and Fog,7.327510917030568,0.0
014028009X,Bridget Jones's Diary,7.732824427480916,0.0
0440213525,The Client,7.903448275862069,0.0
0446672211,Where the Heart Is (Oprah's Book Club (Paperback)),8.142372881355932,0.0
0060987103,Wicked: The Life and Times of the Wicked Witch of the West,7.871794871794871,0.0
0060930535,The Poisonwood Bible: A Novel,8.178899082568808,0.0
0439064872,Harry Potter and the Chamber of Secrets (Book 2),8.783068783068783,0.0
0671001795,Two for the Dough,8.258928571428571,0.0
0312966970,Four To Score (A Stephanie Plum Novel),8.135922330097088,0.0
0345370775,Jurassic Park,7.85,0.0
0345361792,A Prayer for Owen Meany,8.607734806629834,0.0
0312980140,Seven Up (A Stephanie Plum Novel),8.08695652173913,0.0
068484477X,STONES FROM THE RIVER,8.056,0.0
0440220602,The Chamber,7.431506849315069,0.0
0446610038,1st to Die: A Novel,7.728813559322034,0.0
