title,listPrice,onlinePrice,category,rating,reviews,stock,monthly_sales
你当像鸟飞往你的山（中文版销量超200万册，比尔・盖茨年度特别推,59.0,35.4,其他,4.1,234,115,41.0
人间失格（日本小说家太宰治代表作，一个对村上春树影响至深的绝,25.0,15.0,文学,4.3,230,130,54.0
乌合之众 : 大众心理研究（群体心理学创始人古斯塔夫・勒庞代表作,26.0,15.6,社科,4.7,258,142,65.0
神奇校车・图画书版（全12册）,198.0,118.8,其他,4.1,220,99,31.0
作家榜名著：月亮与六便士（158万+读者高分推荐版！连续8年高居畅,39.8,23.88,文学,4.4,240,109,60.0
人生海海（麦家重磅力作，莫言、董卿盛赞，连续两年高居畅销榜，,55.0,33.0,其他,4.3,229,110,52.0
正面管教(修订版),38.0,22.8,其他,4.6,253,122,59.0
云边有个小卖部（俞敏洪《在岁月中远行》单独撰文推荐，随书附赠,42.0,25.2,其他,4.3,230,133,56.0
小熊和最好的爸爸（全7册）,35.0,21.0,其他,5.0,274,113,57.0
啊2.0（大冰作品！狂销100万册！新增10万字并包含旧书全文。）,39.6,23.76,其他,4.7,254,123,69.0
马尔克斯：百年孤独（50周年纪念版）,55.0,33.0,其他,3.8,217,112,40.0
神奇校车・桥梁书版（全20册）,150.0,90.0,其他,3.6,200,89,32.0
你就是孩子最好的玩具,36.0,21.6,其他,5.0,277,146,66.0
三体：全三册 刘慈欣代表作，亚洲“雨果奖”获奖作品！,93.0,55.8,其他,3.5,190,93,54.0
断舍离（经典断舍离，山下英子初版全本）,32.0,19.2,其他,4.5,242,114,70.0
少年读史记（套装全5册）,100.0,60.0,其他,3.6,200,114,24.0
流浪的地球（《三体》作者刘慈欣绚丽想象力之作，关乎人类命运共,29.0,17.4,其他,4.3,230,128,61.0
活着,28.0,16.8,其他,4.8,263,108,77.0
窗边的小豆豆(2018版),39.5,23.7,其他,4.5,239,124,53.0
平凡的世界：全三册（故事里的中国推荐）,108.0,64.8,其他,3.7,196,97,45.0
人间值得（90岁心理医生恒子奶奶写给生活的哲思小书。十点读书、,49.9,29.94,社科,4.4,240,126,57.0
罗生门（芥川龙之介小说集。《人间失格》作者太宰治是芥川的头号,31.0,18.6,文学,4.8,261,125,60.0
东野圭吾：白夜行（易烊千玺、孟非推荐，东野圭吾作品无冕之王）,59.6,35.76,其他,4.2,229,98,63.0
侦探与小偷 （以思辨的哲思方式讲述惊险刺激的侦探故事，让孩子在,24.8,14.88,其他,4.2,232,114,57.0
非暴力沟通,49.0,29.4,其他,4.5,241,130,56.0
次第花开 修订版,39.8,23.88,其他,4.4,232,104,66.0
边城（沈从文代表作）,32.0,19.2,其他,4.9,269,142,73.0
月亮和六便士（毛姆代表作之一，全新导读+无删节详注版）,27.0,16.2,其他,4.8,260,141,63.0
皮囊（400万册纪念版，直面人生的难题，刻在骨头里的故事，容纳一,49.8,29.879999999999995,其他,4.1,217,109,49.0
亲密关系：通往灵魂的桥梁（新版）：赵露思在《偷偷藏不住》探究,45.0,27.0,其他,4.5,251,120,56.0
追风筝的人（2018年新版）,36.0,21.6,其他,4.5,241,113,59.0
谈判：如何在博弈中获得更多(第四版)Everything is Negotiable,45.0,27.0,其他,4.6,246,130,54.0
信谊世界精选图画书・猜猜我有多爱你,38.8,23.28,其他,4.5,241,112,59.0
东野圭吾：沉默的巡游 （2020年全新力作 中文简体版初次上市）,59.0,35.4,其他,4.0,220,101,50.0
晚熟的人（莫言新书）,59.0,35.4,其他,4.5,241,119,57.0
童年（小学语文“快乐读书吧”・六年级上阅读，高尔基自传体三部,25.0,15.0,其他,5.0,266,140,65.0
小王子（原版精美插图，傅雷翻译出版奖得主郑克鲁法文直译。揭秘,26.0,15.6,其他,4.4,243,123,77.0
细菌世界历险记 又名：灰尘的旅行 快乐读书吧四年级下册推荐 儿童,22.8,13.68,少儿,4.7,255,137,68.0
你想活出怎样的人生（同名电影获奥斯卡！宫崎骏从10岁读到80岁的,49.5,29.7,其他,4.1,219,115,49.0
小王子（畅销500万册，罗翔老师推荐，李继宏口碑译作，作者基金会,39.8,23.88,其他,4.7,251,110,53.0
一看就会的思维导图启蒙绘本（歪歪兔童书馆出品）,128.0,76.8,少儿,4.0,214,94,35.0
霍乱时期的爱情（《百年孤独》作者马尔克斯传世巨著，展示爱情的,69.0,41.4,其他,4.5,251,126,71.0
夏洛的网（新）,26.0,15.6,其他,4.9,266,117,70.0
人间词话（王国维先生的代表作，近代较富盛名的词话著作）,29.8,17.88,其他,4.3,237,109,55.0
我们的身体,155.0,93.0,其他,4.0,224,93,48.0
我爸爸+我妈妈（全2册）――清华附小推荐经典儿童绘本 ！（启发童,79.6,47.76,少儿,3.5,202,80,50.0
米小圈上学记一年级（套装共4册）,100.0,60.0,其他,3.5,197,86,41.0
我的第一本地理启蒙书,49.8,29.879999999999995,其他,4.2,233,102,52.0
任溶溶系列：没头脑和不高兴(注音版）,18.0,10.8,其他,4.8,256,135,67.0
丰子恺万般滋味，都是生活（丰子恺先生诞辰125周年纪念！畅销80万,42.0,25.2,生活,4.3,240,118,51.0
我喜欢生命本来的样子(周国平经典散文作品集),45.0,27.0,文学,3.9,213,97,51.0
海底两万里（语文教材“名著导读”经典・七年级下。翻译家陈筱卿,25.0,15.0,文学,5.0,268,135,78.0
稻草人（于平凡中讲述感天动地的人格魅力，让孩子读懂平凡也有闪,19.8,11.88,其他,4.8,260,125,72.0
围城,39.0,23.4,其他,4.4,243,98,59.0
钱穆谈中国历史文化：中国历史精神,26.0,15.6,社科,4.7,253,141,63.0
一个人就一个人（刘同全新作品。很少有人像他一样时刻记录生活，,49.8,29.879999999999995,生活,4.1,229,107,72.0
富爸爸穷爸爸（新版本）当当投资理财类图书！本版随书附赠价值19,89.0,53.4,其他,4.1,221,114,52.0
红星照耀中国  青少版 八年级上册 人民文学出版社 团购电话40010,33.0,19.8,文学,4.9,268,111,64.0
十万个为什么 快乐读书吧四年级下册推荐课外阅读青少版科普中小学,22.8,13.68,其他,4.7,255,133,64.0
东野圭吾：恶意（2016版，东野圭吾四大杰作之一）,39.5,23.7,其他,4.8,263,117,66.0
福尔摩斯探案集 中小学生课外阅读指导丛书 无障碍阅读 彩插励志版,17.8,10.68,其他,4.8,267,126,58.0
儒林外史(56回全本，内容考证、文字句读全新修订版),25.0,15.0,其他,4.8,262,137,58.0
居里夫人的故事 小学生儿童文学三四五六年级8-9-10-12岁课外阅读,19.8,11.88,文学,4.9,263,111,86.0
养育男孩（典藏版）,39.8,23.88,其他,4.7,255,127,67.0
一九八四（又译“1984”。奥威尔代表作，反乌托邦杰作之一）,32.0,19.2,其他,4.2,228,114,69.0
银火箭少年科幻系列・第1辑（8册。“雨果奖”得主、三体作者刘慈,256.0,153.6,其他,4.0,216,93,32.0
吹牛大王历险记（德国原版精美插图本，充满欢乐的百年童话，未删,19.0,11.4,其他,4.2,230,119,69.0
汤姆・索亚历险记（深受儿童欢迎的冒险小说，小学语文“快乐读书,24.0,14.4,文学,4.8,257,116,62.0
爱的教育（语文教材“快乐读书吧”六年级上阅读，夏�D尊先生经典,20.0,12.0,教育,4.6,241,140,59.0
写给儿童的中国历史（中国孩子的历史启蒙，真正写给孩子看的中国,355.0,213.0,社科,4.1,227,98,13.0
杀死一只知更鸟（豆瓣9.2，关于勇气与正义的成长教科书，影响全球,48.0,28.8,其他,3.9,211,116,45.0
乌丢丢的奇遇（师生家长共读本）精美插图版 曹文轩推荐儿童文学经,18.8,11.28,文学,4.7,258,128,60.0
我的神奇马桶（奇思妙趣三部曲）（全3册）,89.4,53.64,其他,3.7,201,114,43.0
丁香医生366条健康辟谣，享受健康一整年,98.0,58.8,生活,3.4,184,79,36.0
乖，摸摸头2.0（大冰作品！升级版乖，摸摸头2.0！热销500万册！）,39.6,23.76,其他,4.9,268,111,55.0
房思琪的初恋乐园 （豆瓣9.2高分！数百万读者强烈共鸣的文学绝唱,45.0,27.0,文学,4.2,230,111,60.0
养育女孩（新版）,39.8,23.88,其他,4.5,246,101,66.0
天才在左 疯子在右(全新完整版),49.8,29.879999999999995,其他,4.1,226,126,64.0
DK幼儿百科全书――那些重要的事,138.0,82.8,其他,3.9,210,113,49.0
宫西达也超级绘本（加法超人与算术星人+狐狸爸爸笑了等全11册）,186.0,111.6,少儿,3.4,191,103,33.0
资治通鉴少年简读版(套装全4册）附赠音频，扫码畅听！四册盒装，,156.0,93.6,其他,3.8,217,88,37.0
断舍离（4次入选中国年度流行语）宫崎骏、稻盛和夫、张德芬、陈数,45.0,27.0,其他,3.9,217,100,66.0
如何说孩子才会听 怎么听孩子才肯说（全新修订版）,36.8,22.08,其他,4.9,262,135,69.0
浮生六记（非常容易读懂原文的版本：详细注解+准确优美直译。获得,35.0,21.0,其他,4.7,261,136,79.0
东野圭吾：祈念守护人（东野圭吾2020年全新长篇，全球同步发售）,59.0,35.4,其他,4.0,215,122,50.0
2023中华人民共和国民法典（实用版）团购电话：4001066666转6,65.0,39.0,其他,4.6,248,133,65.0
尼尔斯骑鹅旅行记 快乐读书吧 六年级下册推荐阅读(中小学生课外阅,16.8,10.08,其他,4.5,253,117,49.0
小王子（舒朗大开本）,22.8,13.68,其他,4.8,264,142,69.0
小熊宝宝绘本（简装全15册）蒲蒲兰经典绘本！新手妈妈的育儿宝典,96.0,57.6,少儿,3.8,215,121,50.0
古文观止（上下册，原文+导读+注释+翻译，特别适合青少年）,52.0,31.2,其他,4.1,217,130,41.0
不吼不叫：如何平静地让孩子与父母合作,32.8,19.68,其他,5.0,271,127,70.0
半小时漫画唐诗系列（全2册）（看起来都是笑点，实际上全是考点！,99.8,59.88,其他,3.6,198,112,38.0
东野圭吾：解忧杂货店（胡歌、王俊凯、刘昊然倾情推荐，东野圭吾,39.5,23.7,其他,4.8,264,125,62.0
小鸡球球触感玩具书全5册点读版0-3岁纸板书幼儿认知翻翻书早教立,250.0,150.0,其他,3.4,191,113,22.0
米小圈脑筋急转弯（第一辑）（套装共4册）,64.0,38.4,其他,4.1,218,122,64.0
了不起的我：自我发展的心理学（陈海贤重磅新作，得到付费用户亲,69.0,41.4,社科,4.3,228,124,58.0
半小时漫画中国史1-4+世界史（共5册）（看半小时漫画，通五千年历,209.5,125.7,其他,3.5,200,83,25.0
宫西达也恐龙系列全套7册（你看起来好像很好吃+我是霸王龙等）,126.0,75.6,其他,3.5,193,117,32.0
活着（精装版，余华代表作，易烊千玺推荐阅读版本）,35.0,21.0,其他,5.0,274,113,74.0
心 稻盛和夫的一生嘱托,59.0,35.4,其他,4.4,241,134,56.0
尼尔斯骑鹅旅行记（语文教材“快乐读书吧”六年级下册阅读，翻译,24.8,14.88,其他,4.3,235,114,60.0
我们仨（新版）,28.0,16.8,其他,4.2,224,119,50.0
蛤蟆先生去看心理医生（热销300万册！英国经典心理咨询入门书，知,38.0,22.8,社科,4.8,258,140,59.0
城南旧事（少年儿童读本，林海音怀念童年的短篇小说集）,20.0,12.0,文学,4.4,252,136,69.0
